filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
src/lapack/dlarfg.c,51,0,0.0,14,0,0.0,1,0,0.0,6,8,145.0,5.0,6,1,145,0,1,7,6,49,0,0,33,6.0,6.0,33
src/lapack/dlarft.c,82,0,0.0,22,0,0.0,1,0,0.0,7,13,250.0,9.0,2,1,250,0,1,3,2,94,0,0,31,12.0,12.0,31
src/lapack/dlartg.c,77,0,0.0,44,0,0.0,1,0,0.0,2,14,157.0,5.0,2,1,157,0,1,3,2,54,0,0,27,12.0,12.0,27
src/lapack/dlas2.c,40,0,0.0,24,0,0.0,1,0,0.0,2,6,116.0,5.0,0,1,116,0,1,1,0,50,0,0,27,5.0,5.0,27
src/lapack/dlascl.c,152,0,0.0,138,0,0.0,1,0,0.0,6,45,308.0,10.0,1,1,308,0,1,2,1,90,0,0,31,60.0,60.0,31
src/lapack/dlaset.c,37,0,0.0,24,0,0.0,1,0,0.0,3,11,126.0,7.0,0,1,126,0,1,1,0,55,0,0,24,10.0,10.0,24
src/lapack/dlasq1.c,73,0,0.0,32,0,0.0,1,0,0.0,1,12,181.0,5.0,6,1,181,0,1,7,6,63,0,0,34,11.0,11.0,34
src/lapack/dlasq2.c,281,0,0.0,134,0,0.0,1,0,0.0,1,47,510.0,3.0,5,1,510,0,1,6,5,119,0,0,40,49.0,49.0,40
src/lapack/dlasq3.c,139,0,0.0,82,0,0.0,1,0,0.0,1,33,311.0,12.0,5,1,311,0,1,6,5,70,0,0,30,29.0,29.0,30
src/lapack/dlasq4.c,195,0,0.0,132,0,0.0,1,0,0.0,1,55,369.0,13.0,0,1,369,0,1,1,0,80,0,0,32,57.0,57.0,32
src/lapack/dlasq5.c,99,0,0.0,48,0,0.0,1,0,0.0,1,14,206.0,12.0,0,1,206,0,1,1,0,55,0,0,22,13.0,13.0,22
src/lapack/dlasq6.c,98,0,0.0,56,0,0.0,1,0,0.0,1,14,179.0,10.0,1,1,179,0,1,2,1,48,0,0,23,17.0,17.0,23
src/lapack/dlasr.c,220,0,0.0,164,0,0.0,1,0,0.0,2,66,387.0,9.0,0,1,387,0,1,1,0,103,0,0,50,82.0,82.0,50
