filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC
dyninstAPI/src/Relocation/DynInstrumenter.h,7,0,0.0,4,0,0.0,6,0,0.0,0,2.161290322580646,3.838709677419356,0.9999999999999993,9,22,14,12,31,71,37,0,9665,0,0,9665,8.0,1.0
symtabAPI/h/Statement.h,12,0,0.0,116,0,0.0,1,0,0.0,4,2.1052631578947367,2.0526315789473686,0.8947368421052632,2,17,11,4,19,34,16,0,16070,0,0,16070,13.2,1.1
dataflowAPI/rose/semantics/DispatcherAMDGPU.C,160,0,0.0,272,0,0.0,21,0,0.0,0,2.6666666666666665,16.666666666666668,4.333333333333333,20,6,33,0,6,43,20,0,19955,0,0,19955,39.6,1.8
common/src/NodeIterator.h,183,0,0.0,305,0,0.0,39,0,0.0,6,2.5833333333333326,5.125000000000001,0.875,0,16,25,18,48,152,0,0,12212,0,0,12212,88.0,2.0
parseAPI/src/ParseData.h,137,0,0.0,110,0,0.0,21,0,0.0,13,2.585858585858586,6.292929292929294,1.7070707070707065,33,62,28,27,99,253,246,0,14604,0,0,14604,44.8,1.4
parseAPI/src/BoundFactData.h,44,0,0.0,174,0,0.0,5,0,0.0,7,6.5937500000000036,19.968749999999996,1.0625000000000016,13,46,410,21,64,157,227,0,9742,0,0,9742,32.0,2.0
common/src/arch-aarch64.h,2,0,0.0,0,0,,0,0,,6,2.41463414634146,4.95121951219512,0.707317073170732,5,29,25,27,41,84,145,0,7798,0,0,7798,15.0,1.0
symtabAPI/h/Function.h,12,0,0.0,12,0,0.0,4,0,0.0,24,2.8596491228070176,7.929824561403507,0.7368421052631582,17,34,70,20,57,159,164,0,18731,0,0,18731,8.0,1.0
dyninstAPI/src/Relocation/Springboard.h,55,0,0.0,32,0,0.0,6,0,0.0,3,3.513513513513512,14.081081081081075,2.8648648648648654,13,15,117,22,37,123,59,0,12612,0,0,12612,18.700000000000003,1.1
dataflowAPI/src/RoseInsnFactory.h,15,0,0.0,4,0,0.0,9,0,0.0,5,33.468085106382986,51.21276595744683,1.5106382978723383,23,47,918,5,47,85,222,0,9150,0,0,9150,15.0,1.0
