filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
src/H5T.c,3037,2476,0.815,4244,2231,0.526,85,81,0.953,85,0.0,61.2613636363636,2.21590909090909,67,28,1171,168,88,1301,1876,1921,0,0,2544,1156.0,13.6,2544
src/H5Tconv_array.c,104,84,0.8079999999999999,121,73,0.603,1,1,1.0,2,0.0,93.0,9.0,16,2,185,1,2,33,32,73,0,0,103,42.0,42.0,103
src/H5Gnode.c,602,454,0.754,856,388,0.4529999999999999,20,17,0.85,10,0.0,39.1111111111111,4.2962962962963,43,25,192,2,27,270,1075,506,0,0,600,162.0,8.1,600
src/H5Tconv_compound.c,442,386,0.873,416,264,0.635,5,5,1.0,4,0.0,146.0,4.8,22,2,253,8,5,124,44,325,0,0,257,126.0,25.2,257
src/H5Tconv_enum.c,269,202,0.7509999999999999,306,167,0.546,4,4,1.0,2,0.0,77.5,6.833333333333331,15,4,198,5,6,73,60,141,0,0,196,100.0,25.0,196
src/H5Tinit_float.c,186,153,0.823,297,150,0.505,7,7,1.0,2,0.0,45.5714285714286,3.7142857142857104,11,6,168,14,7,60,66,204,0,0,233,42.7,6.1,233
src/H5Gdeprec.c,556,451,0.8109999999999999,781,400,0.512,18,18,1.0,12,0.0,47.8947368421053,3.5789473684210495,42,16,82,3,19,297,672,407,0,0,470,169.20000000000002,9.4,470
src/H5Tref.c,536,408,0.7609999999999999,691,321,0.465,18,17,0.944,1,5.0,33.8666666666667,4.96666666666667,26,30,190,6,30,184,780,352,0,0,529,124.2,6.9,529
src/H5VLcallback.c,2958,1501,0.507,6365,2285,0.359,216,126,0.583,56,0.0,24.8064516129032,5.23502304147465,37,74,67,3,217,1562,2738,2951,0,0,3623,907.2,4.2,3623
src/H5Gbtree2.c,115,94,0.8170000000000001,260,107,0.412,11,9,0.818,4,0.0,11.8235294117647,3.35294117647059,13,16,44,7,17,72,208,192,0,0,204,24.200000000000003,2.2,204
src/H5Fsfile.c,58,56,0.966,108,56,0.519,4,4,1.0,2,0.0,24.0,1.0,6,2,39,3,5,28,12,78,0,0,108,12.8,3.2,108
src/H5FScache.c,504,413,0.8190000000000001,905,452,0.499,18,18,1.0,7,0.0,42.92,3.52,21,16,280,8,25,230,336,539,0,0,677,115.2,6.4,677
src/H5VLdyn_ops.c,85,74,0.871,204,107,0.525,7,7,1.0,6,2.0,18.75,1.875,6,2,39,4,8,44,12,133,0,0,161,25.9,3.7,161
hl/src/H5LT.c,1522,883,0.58,1296,539,0.416,70,66,0.943,74,0.0,34.3571428571429,4.07142857142857,29,19,638,13,70,459,551,1050,0,0,211,553.0,7.9,211
hl/src/H5PT.c,346,231,0.6679999999999999,204,93,0.456,21,18,0.857,2,0.0,25.4545454545455,2.13636363636364,16,2,96,6,22,199,32,272,0,0,32,111.3,5.3,32
src/H5VM.c,663,549,0.828,821,422,0.514,20,19,0.95,24,0.0,54.05,5.35,5,8,184,2,20,63,40,503,0,0,614,152.0,7.6,614
src/H5WB.c,61,52,0.852,108,56,0.519,4,4,1.0,3,0.0,22.1666666666667,1.5,5,5,50,5,6,31,25,124,0,0,125,16.0,4.0,125
src/H5Z.c,679,586,0.863,1208,658,0.545,30,30,1.0,61,0.0,40.8484848484849,2.36363636363636,39,9,211,6,33,280,351,541,0,0,671,258.0,8.6,671
src/H5FDstdio.c,332,233,0.7020000000000001,566,106,0.187,18,16,0.889,12,0.0,36.3888888888889,2.66666666666667,11,15,145,16,18,78,165,416,0,0,186,115.2,6.4,186
src/H5Znbit.c,741,595,0.8029999999999999,632,333,0.527,24,24,1.0,3,0.0,52.24,4.76,14,4,158,7,25,186,56,292,0,0,405,273.6,11.4,405
hl/test/test_image.c,424,287,0.677,304,149,0.49,6,6,1.0,1,0.0,139.166666666667,1.6666666666666703,13,1,223,4,6,74,13,275,0,0,77,142.8,23.8,77
test/API/H5_api_attribute_test.c,7374,3440,0.467,4380,2062,0.471,45,44,0.978,1,0.0,130.275862068966,1.06896551724138,26,40,1226,2,87,901,1040,461,0,0,815,1485.0,33.0,815
src/H5FDsec2.c,274,232,0.847,591,295,0.499,18,17,0.944,16,0.0,22.1785714285714,2.85714285714286,12,27,117,13,28,83,324,330,0,0,362,106.2,5.9,362
hl/test/test_packet.c,544,372,0.684,403,201,0.499,15,15,1.0,1,0.0,54.8666666666667,1.2,13,1,153,6,15,163,13,226,0,0,43,168.0,11.2,43
src/H5FDonion.c,823,634,0.77,1098,566,0.515,24,21,0.875,8,0.0,40.7096774193548,2.83870967741935,25,22,318,18,31,236,550,432,0,0,686,256.79999999999995,10.7,686
test/API/H5_api_dataset_test.c,9383,5246,0.5589999999999999,7013,3744,0.534,75,74,0.987,1,0.0,93.3355704697987,1.06711409395973,35,75,1081,2,149,1449,2625,965,0,0,1119,2317.5,30.9,1119
test/btree2.c,5851,3609,0.617,3744,1647,0.44,68,61,0.897,1,0.0,134.029411764706,2.85294117647059,20,1,575,2,68,933,20,2193,0,0,3115,1795.1999999999998,26.4,3115
test/cmpd_dtransform.c,114,66,0.579,98,49,0.5,1,1,1.0,0,35.0,155.0,1.0,12,1,155,2,1,27,12,29,0,0,78,34.0,34.0,78
test/file_image.c,691,608,0.88,588,299,0.509,13,13,1.0,1,0.0,92.6153846153846,2.15384615384615,27,1,355,7,13,171,27,347,0,0,595,80.60000000000001,6.2,595
src/H5.c,385,281,0.73,740,328,0.4429999999999999,21,19,0.905,110,0.0,36.9545454545455,1.77272727272727,21,14,187,12,22,103,294,519,0,0,502,123.2,5.6,502
HDF5Examples/C/H5T/h5ex_t_convert.c,59,59,1.0,26,14,0.5379999999999999,1,1,1.0,1,3.0,113.0,1.0,8,1,113,2,1,21,8,48,0,0,5,2.0,2.0,5
src/H5Abtree2.c,135,118,0.8740000000000001,258,108,0.419,11,9,0.818,1,0.0,13.4705882352941,3.35294117647059,16,16,53,8,17,104,256,196,0,0,201,24.200000000000003,2.2,201
test/objcopy_ref.c,1115,556,0.499,1045,411,0.3929999999999999,14,14,1.0,106,0.0,123.0,3.2142857142857104,39,1,368,9,14,238,39,409,0,0,527,424.2,30.3,527
src/H5FAtest.c,92,40,0.435,250,65,0.26,9,5,0.556,2,0.0,13.1428571428571,2.5,8,14,31,2,14,35,112,160,0,0,249,15.3,1.7,249
HDF5Examples/C/H5T/h5ex_t_cmpd.c,65,65,1.0,30,16,0.5329999999999999,1,1,1.0,5,3.0,134.0,1.0,12,1,134,4,1,29,12,59,0,0,4,2.0,2.0,4
test/select_io_dset.c,2115,1423,0.6729999999999999,1981,1137,0.574,14,14,1.0,8,0.0,220.14285714285703,3.35714285714286,27,1,524,10,14,305,27,511,0,0,764,784.0,56.0,764
test/testframe.c,459,169,0.368,302,101,0.3339999999999999,25,16,0.64,59,7.0,27.6923076923077,1.73076923076923,7,1,171,22,26,127,7,147,0,0,113,157.5,6.3,113
