filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
EXAMPLE/citersol.c,175,0,0.0,80,0,0.0,3,0,0.0,0,14,110.666666666667,3.0,18,1,297,10,3,65,18,91,0,0,129,51.0,17.0,129
EXAMPLE/clinsol1.c,52,0,0.0,12,0,0.0,1,0,0.0,0,8,114.0,2.0,8,1,114,0,1,28,8,37,0,0,67,9.0,9.0,67
EXAMPLE/clinsol.c,49,0,0.0,12,0,0.0,1,0,0.0,0,8,109.0,2.0,8,1,109,0,1,25,8,36,0,0,67,9.0,9.0,67
EXAMPLE/clinsolx1.c,124,0,0.0,62,0,0.0,2,0,0.0,0,'16.5',113.5,4.0,8,1,200,0,2,33,8,58,0,0,130,37.0,18.5,130
EXAMPLE/clinsolx2.c,157,0,0.0,88,0,0.0,2,0,0.0,0,23,132.0,4.0,8,1,237,0,2,33,8,61,0,0,159,50.0,25.0,159
EXAMPLE/clinsolx3.c,153,0,0.0,86,0,0.0,2,0,0.0,0,'22.5',125.0,4.0,8,1,223,0,2,33,8,60,0,0,157,49.0,24.5,157
EXAMPLE/clinsolx.c,114,0,0.0,52,0,0.0,2,0,0.0,0,15,101.0,4.0,8,1,175,0,2,31,8,44,0,0,123,32.0,16.0,123
EXAMPLE/dfgmr.c,125,0,0.0,62,0,0.0,1,0,0.0,6,'11.6666666666667',87.0,5.66666666666667,3,1,259,0,3,8,3,125,0,0,64,32.0,32.0,64
EXAMPLE/ditersol1.c,180,0,0.0,72,0,0.0,3,0,0.0,0,'13.3333333333333',112.0,3.0,17,1,301,12,3,71,17,91,0,0,134,47.1,15.7,134
EXAMPLE/ditersol.c,172,0,0.0,80,0,0.0,3,0,0.0,0,14,109.333333333333,3.0,17,1,293,10,3,64,17,91,0,0,129,51.0,17.0,129
EXAMPLE/dlinsol1.c,52,0,0.0,12,0,0.0,1,0,0.0,0,8,114.0,2.0,7,1,114,0,1,28,7,37,0,0,67,9.0,9.0,67
EXAMPLE/dlinsol.c,49,0,0.0,12,0,0.0,1,0,0.0,0,8,109.0,2.0,7,1,109,0,1,25,7,36,0,0,67,9.0,9.0,67
EXAMPLE/dlinsolx1.c,124,0,0.0,62,0,0.0,2,0,0.0,0,'16.5',113.5,4.0,7,1,200,0,2,33,7,58,0,0,130,37.0,18.5,130
EXAMPLE/dlinsolx2.c,157,0,0.0,88,0,0.0,2,0,0.0,0,23,132.0,4.0,7,1,237,0,2,33,7,61,0,0,159,50.0,25.0,159
EXAMPLE/dlinsolx3.c,153,0,0.0,86,0,0.0,2,0,0.0,0,'22.5',125.0,4.0,7,1,223,0,2,33,7,60,0,0,157,49.0,24.5,157
EXAMPLE/dlinsolx.c,114,0,0.0,52,0,0.0,2,0,0.0,0,15,101.0,4.0,7,1,175,0,2,31,7,44,0,0,123,32.0,16.0,123
EXAMPLE/sfgmr.c,125,0,0.0,62,0,0.0,1,0,0.0,6,'11.6666666666667',87.0,5.66666666666667,3,1,259,0,3,8,3,125,0,0,64,32.0,32.0,64
EXAMPLE/sitersol1.c,180,0,0.0,72,0,0.0,3,0,0.0,0,'13.3333333333333',112.0,3.0,13,1,301,12,3,71,13,91,0,0,134,47.1,15.7,134
