filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NMC,NMCI,NMCE,WMC,AMC,NSM
modules/libfabric/prov/hook/src/hook_cm.c,32,0,0.0,0,0,,9,0,0.0,1,2,'5.88888888888889','3.11111111111111',1,9,'7',1,9,11,9,31,0,0,11,9.0,1.0,11
modules/libfabric/prov/hook/src/hook_cntr.c,57,0,0.0,8,0,0.0,8,0,0.0,0,'2.75','10.25','2.125',2,8,'40',1,8,12,16,31,0,0,14,12.0,1.5,14
modules/libfabric/prov/hook/src/hook_cq.c,65,0,0.0,10,0,0.0,9,0,0.0,0,'2.77777777777778','10.6666666666667',4,2,8,'26',1,9,15,16,31,0,0,15,14.4,1.6,15
modules/libfabric/prov/hook/src/hook_domain.c,113,0,0.0,16,0,0.0,13,0,0.0,6,'2.76923076923077','13.3846153846154','4.15384615384615',1,4,'27',4,13,28,4,35,0,0,20,20.8,1.6,20
modules/libfabric/prov/hook/src/hook_ep.c,157,0,0.0,36,0,0.0,14,0,0.0,0,'3.42857142857143','16.5','4.35714285714286',4,4,'26',1,14,43,16,31,0,0,28,32.2,2.3,28
modules/libfabric/prov/hook/src/hook_eq.c,63,0,0.0,18,0,0.0,9,0,0.0,0,'2.66666666666667','10.6666666666667','3.88888888888889',1,5,'25',1,9,17,5,36,0,0,9,18.0,2.0,9
modules/libfabric/prov/hook/src/hook_wait.c,71,0,0.0,16,0,0.0,7,0,0.0,0,'3.14285714285714','14.2857142857143','2.85714285714286',2,7,'24',2,7,15,14,31,0,0,14,14.7,2.1,14
modules/libfabric/prov/hook/src/hook_xfer.c,183,0,0.0,0,0,,40,0,0.0,1,2,'8.4','6.85',0,40,'15',4,40,40,0,31,0,0,40,40.0,1.0,40
modules/libfabric/prov/hook/trace/src/hook_trace.c,682,4,0.006,282,0,0.0,81,1,0.012,0,'2.2875','13.2','5.5625',0,69,'36',21,80,104,0,42,0,0,40,132.8,1.6,40
modules/libfabric/prov/mrail/src/mrail.h,67,0,0.0,28,0,0.0,13,0,0.0,7,'4.66666666666667','31.4285714285714','2.28571428571429',3,5,'98',134,21,139,15,0,0,0,18,20.0,2.0,18
modules/libfabric/prov/mrail/src/mrail_av.c,113,0,0.0,34,0,0.0,9,0,0.0,0,'4.11111111111111','20.1111111111111','4.44444444444444',1,8,'67',2,9,32,8,39,1157,0,1157,25.2,2.8,0
modules/libfabric/prov/mrail/src/mrail_cq.c,407,0,0.0,160,0,0.0,18,0,0.0,3,'3.83333333333333','33.5','2.16666666666667',2,1,'69',2,18,174,2,61,1283,0,1283,79.2,4.4,0
modules/libfabric/prov/mrail/src/mrail_domain.c,229,0,0.0,69,0,0.0,12,0,0.0,0,'4.91666666666667','27.5','3.58333333333333',1,6,'52',4,12,77,6,34,1180,0,1180,44.400000000000006,3.7,0
modules/libfabric/prov/mrail/src/mrail_ep.c,609,0,0.0,155,0,0.0,42,0,0.0,2,'3.35714285714286','21.1904761904762','3.9047619047619',2,9,'98',5,42,264,18,42,1280,0,1280,113.4,2.7,0
modules/libfabric/prov/mrail/src/mrail_fabric.c,50,0,0.0,18,0,0.0,2,0,0.0,0,'7.5',35,2,2,1,'50',2,2,14,2,31,1144,0,1144,11.0,5.5,0
modules/libfabric/prov/mrail/src/mrail_init.c,310,41,0.132,166,8,0.048,10,4,0.4,0,'10.8888888888889','51.1111111111111','2.77777777777778',2,1,'104',9,9,33,2,61,0,0,68,80.10000000000001,8.9,68
modules/libfabric/prov/mrail/src/mrail_rma.c,220,0,0.0,46,0,0.0,15,0,0.0,0,'3.4','23.8666666666667','3.6',2,2,'74',1,15,92,4,57,1181,0,1181,34.5,2.3,0
modules/libfabric/prov/rstream/src/rstream.h,1,0,0.0,6,0,0.0,3,0,0.0,7,'2.72727272727273','29.3636363636364','3.09090909090909',2,3,'69',70,11,80,6,0,1100,0,1100,0.0,0.0,0
modules/libfabric/prov/rstream/src/rstream_attr.c,10,0,0.0,0,0,,1,0,0.0,1,2,11,1,0,1,'11',6,1,4,0,33,1100,0,1100,1.0,1.0,0
modules/libfabric/prov/rstream/src/rstream_cm.c,79,0,0.0,32,0,0.0,10,0,0.0,2,'2.8','11.8','2.6',1,7,'20',2,10,43,7,31,1121,0,1121,23.0,2.3,0
modules/libfabric/prov/rstream/src/rstream_domain.c,44,0,0.0,14,0,0.0,2,0,0.0,0,7,'30.5','2.5',1,2,'42',3,2,12,2,31,1109,0,1109,9.0,4.5,0
modules/libfabric/prov/rstream/src/rstream_ep.c,247,0,0.0,87,0,0.0,12,0,0.0,0,'5.5','29.0833333333333','2.75',2,9,'69',3,12,120,18,32,1167,0,1167,50.400000000000006,4.2,0
modules/libfabric/prov/rstream/src/rstream_eq.c,116,0,0.0,28,0,0.0,9,0,0.0,0,'3.55555555555556','19.3333333333333','3.66666666666667',1,6,'36',2,9,45,6,33,1124,0,1124,25.2,2.8,0
