filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,ACC,ACCM,AMLOC,ANPM,CBO,LCOM4,MMLOC,NOA,NOM,RFC,SC,LOCCOM,NSM,NMC,NMCI,NMCE,WMC,AMC,function_total,function_covered,function_percent
fem/linearform_ext.hpp,1,0,0.0,0,0,,1,5.25,39.25,0.25,9,2,92,9,4,50,18,0,10921,0,0,10921,1.0,1.0,1,1,1.0
fem/lor/lor.cpp,210,0,0.0,464,0,0.0,1,3.33333333333333,14.0,1.0,3,3,19,0,3,12,9,0,17182,0,0,17182,95.7,3.3,27,24,0.889
fem/lor/lor_batched.cpp,260,0,0.0,491,0,0.0,1,4.7,11.7,2.2,9,10,21,0,10,28,90,0,18320,0,0,18320,98.6,5.8,96,35,0.365
fem/lor/lor_h1.hpp,4,0,0.0,4,0,0.0,0,17.3333333333333,161.666666666667,1.66666666666667,11,3,312,0,3,45,33,0,17565,0,0,17565,1.0,1.0,1,1,1.0
fem/lor/lor_nd.hpp,4,0,0.0,4,0,0.0,0,17.3333333333333,176.666666666667,1.66666666666667,13,3,345,0,3,48,39,0,17541,0,0,17541,1.0,1.0,1,1,1.0
fem/lor/lor_rt.hpp,4,0,0.0,4,0,0.0,0,17.3333333333333,171.0,1.66666666666667,13,3,312,0,3,47,39,0,17411,0,0,17411,1.0,1.0,1,1,1.0
fem/lor/lor_util.hpp,151,0,0.0,86,0,0.0,3,2.4,22.9,4.2,4,9,58,0,10,17,36,0,10680,0,0,10680,23.4,2.6,78,17,0.218
fem/normal_deriv_restriction.cpp,365,0,0.0,3552,0,0.0,0,7.0,34.5,4.0,5,2,35,0,2,14,10,0,15546,0,0,15546,187.2,20.8,41,13,0.317
fem/qfunction.cpp,142,0,0.0,402,0,0.0,0,2.5,8.5,2.0,1,2,12,0,2,3,2,0,15717,0,0,15717,38.5,3.5,12,7,0.583
fem/qfunction.hpp,44,0,0.0,14,0,0.0,5,3.15384615384615,12.7692307692308,1.46153846153846,20,7,118,3,26,134,140,0,15556,0,0,15556,31.5,1.5,13,12,0.923
fem/qinterp/det.cpp,24,0,0.0,42,0,0.0,0,3.6,53.4,6.4,9,5,96,0,5,33,45,0,16268,0,0,16268,10.0,5.0,2,2,1.0
fem/qinterp/eval.hpp,78,0,0.0,2150,0,0.0,0,5.66666666666667,50.3333333333333,7.0,6,3,61,0,3,25,18,0,16196,0,0,16196,40.0,10.0,127,43,0.3389999999999999
fem/qinterp/eval_by_nodes.cpp,44,0,0.0,0,0,,0,2.0,59.0,0.0,1,1,59,0,1,2,1,0,16196,0,0,16196,1.0,1.0,1,1,1.0
fem/qinterp/eval_by_vdim.cpp,22,0,0.0,0,0,,0,2.0,29.0,0.0,1,1,29,0,1,2,1,0,16196,0,0,16196,1.0,1.0,1,1,1.0
fem/qinterp/eval_hdiv.cpp,40,0,0.0,50,0,0.0,0,14.6666666666667,150.0,5.33333333333333,7,3,233,0,3,21,21,0,16076,0,0,16076,12.0,6.0,2,2,1.0
fem/qinterp/grad.hpp,277,0,0.0,13232,0,0.0,0,8.66666666666667,88.1666666666667,9.0,8,6,140,0,6,36,48,0,16390,0,0,16390,89.6,11.2,409,165,0.4029999999999999
fem/qinterp/grad_by_nodes.cpp,53,0,0.0,0,0,,1,2.0,24.3333333333333,0.0,1,3,71,0,3,4,3,0,16390,0,0,16390,1.0,1.0,2,2,1.0
fem/qinterp/grad_by_vdim.cpp,30,0,0.0,0,0,,1,2.0,15.3333333333333,0.0,1,3,44,0,3,4,3,0,16390,0,0,16390,1.0,1.0,2,2,1.0
fem/quadinterpolator.hpp,9,0,0.0,24,0,0.0,7,2.57142857142857,10.8095238095238,2.38095238095238,9,8,73,12,21,90,72,0,15196,0,0,15196,5.0,1.0,9,9,1.0
fem/quadinterpolator_face.cpp,393,0,0.0,4676,0,0.0,0,9.0,45.0,3.0,5,1,45,0,1,12,5,0,16449,0,0,16449,207.2,29.6,54,18,0.3329999999999999
fem/quadinterpolator_face.hpp,3,0,0.0,0,0,,3,17.2222222222222,80.1111111111111,5.11111111111111,14,1,214,16,9,78,14,0,15196,0,0,15196,3.0,1.0,2,2,1.0
fem/restriction.cpp,1304,0,0.0,2966,0,0.0,6,4.125,16.25,4.25,9,8,38,0,8,25,72,0,16392,1,4,16388,438.6,5.1,118,101,0.856
